Age,Gender,University_Year,Sleep_Duration,Study_Hours,Screen_Time,Caffeine_Intake,Physical_Activity,Weekday_Sleep_Start,Weekend_Sleep_Start,Weekday_Sleep_End,Weekend_Sleep_End
25,1,2.0,4.8,6.6,1.4,2,120,7.25,12.02,7.39,7.64
18,2,0.0,5.2,2.5,3.7,4,37,19.57,14.8,7.95,10.64
24,0,0.0,5.2,1.3,3.5,3,97,4.51,5.4,7.93,8.78
21,2,0.0,7.4,11.1,3.2,5,43,11.08,2.11,8.65,7.45
21,0,0.0,5.7,2.1,1.3,4,102,17.32,10.83,8.38,8.66
23,2,3.0,7.3,9.9,2.1,4,103,17.02,21.15,5.34,10.44
18,1,0.0,5.2,2.0,2.6,1,10,1.33,18.1,7.94,7.28
24,1,0.0,4.1,11.6,2.9,3,9,8.25,16.24,5.98,7.97
19,0,0.0,6.9,6.0,3.7,2,44,20.83,15.63,5.93,9.54
24,2,0.0,4.1,4.3,1.9,1,85,10.9,11.37,7.5,9.48
23,1,3.0,5.6,7.9,1.4,2,33,17.42,18.39,5.49,9.86
25,2,1.0,8.4,0.3,3.7,4,103,2.77,16.41,6.32,8.67
20,0,2.0,4.2,11.5,3.0,0,39,11.8,2.28,7.25,7.63
23,0,2.0,6.8,10.8,3.7,1,56,9.34,15.07,5.97,7.34
20,1,1.0,8.9,7.7,3.5,3,40,1.22,15.54,5.85,7.23
24,0,0.0,8.6,0.1,2.2,4,53,17.46,11.05,6.66,7.83
23,1,0.0,4.7,5.6,1.2,0,82,20.01,20.2,8.31,10.43
20,1,1.0,7.3,9.3,1.0,4,110,4.75,18.87,8.81,9.26
23,0,0.0,7.6,5.3,2.8,2,23,6.29,13.12,7.17,9.69
20,2,2.0,7.2,10.4,1.5,1,31,5.76,10.94,6.23,10.78
21,1,1.0,6.1,3.3,2.4,5,106,11.95,16.42,6.33,8.03
21,1,2.0,7.9,2.8,1.1,3,47,8.05,2.72,5.1,7.16
22,0,3.0,7.0,0.5,2.9,1,107,9.29,8.42,6.84,7.74
24,0,0.0,5.7,10.1,2.6,0,27,14.09,6.87,5.97,9.06
20,0,2.0,5.8,7.4,2.0,4,86,19.78,19.78,5.27,7.04
24,2,1.0,5.2,4.7,2.3,1,89,2.89,11.74,7.36,9.04
18,1,1.0,9.0,0.8,3.4,0,58,6.54,10.12,6.47,8.53
25,1,0.0,8.3,9.4,2.2,4,23,4.73,4.55,8.23,10.5
20,1,2.0,4.2,11.1,3.0,4,30,2.24,19.49,6.27,9.72
25,1,2.0,8.0,5.5,3.9,1,4,17.96,17.48,6.81,10.67
19,2,3.0,8.8,0.7,2.5,4,110,10.27,18.68,5.1,10.47
18,2,1.0,7.9,8.8,1.1,0,4,16.27,7.99,8.01,8.36
19,0,2.0,8.9,10.5,1.2,4,0,12.17,4.02,7.31,9.78
23,0,3.0,6.3,1.6,2.5,2,61,5.93,6.68,5.16,9.69
25,2,2.0,8.3,4.8,1.2,5,36,9.63,15.84,8.41,9.19
25,0,2.0,4.3,9.1,2.3,1,95,21.11,15.73,8.98,7.42
21,0,1.0,4.8,2.6,2.9,2,66,12.32,18.81,5.07,8.36
20,0,3.0,7.0,5.2,3.5,1,49,12.49,8.05,7.92,8.58
20,0,1.0,4.3,5.8,3.3,1,89,2.63,4.17,6.3,8.21
22,1,1.0,6.7,11.4,2.4,3,32,21.71,17.32,6.65,9.4
19,1,1.0,7.8,11.6,3.9,0,113,15.32,10.55,5.89,8.71
18,2,2.0,6.2,11.2,3.2,0,58,2.4,13.32,5.24,8.37
20,1,1.0,4.4,7.6,3.9,1,48,9.79,11.49,8.62,7.81
18,0,2.0,8.4,4.8,2.4,0,66,6.03,4.11,7.59,7.77
20,1,2.0,5.6,6.8,2.6,0,45,18.73,21.3,5.72,10.25
25,2,1.0,8.0,0.5,1.0,2,94,20.26,8.04,5.25,7.21
22,1,2.0,7.0,8.2,2.3,3,86,3.76,19.39,8.38,8.2
21,1,2.0,7.9,11.6,1.0,0,86,7.54,14.12,7.01,9.19
23,2,2.0,6.5,11.9,3.7,3,69,16.58,21.66,5.76,7.88
24,0,2.0,4.9,7.8,2.0,2,59,7.48,7.32,8.63,10.41
19,1,3.0,4.4,8.5,3.4,1,101,8.77,15.67,8.67,8.65
23,0,2.0,4.9,1.7,3.0,1,15,15.51,9.61,7.2,9.32
23,0,2.0,7.9,1.0,3.4,1,25,13.26,17.75,5.22,8.51
25,2,2.0,7.9,1.0,1.8,2,112,4.09,2.22,8.73,8.77
25,0,2.0,6.3,5.9,2.3,0,90,15.8,12.67,7.75,10.03
19,1,3.0,4.7,5.5,2.7,0,6,21.67,5.59,5.09,7.46
